eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
system-initialize,api,1630332951475,,,"You're Barack Obama. 4 years into your retirement, you awake to find a letter with no return address on your bedside table. It reads ""I hope you've had a chance to relax Barack...but pack your bags and call the number below. It's time to start the real job."" Signed simply, ""JFK.""
",280,[],0,,5,30,0.75,1,0,1,0
text-insert,user,1630332969810,"{'ops': [{'retain': 280}, {'insert': ' '}]}",,,281,[],0,,5,30,0.75,1,0,1,1
suggestion-get,user,1630332970669,,,,281,[],0,,5,30,0.75,1,0,1,2
suggestion-open,api,1630332972610,,,,281,"[{'index': 0, 'original': 'Puzzled, you call the number.', 'trimmed': 'Puzzled, you call the number.', 'probability': 1.109704632312933e-15}, {'index': 1, 'original': ""You call the number...it's a private line."", 'trimmed': ""You call the number...it's a private line."", 'probability': 4.172135064262382e-15}, {'index': 2, 'original': 'You have no idea what JFK could mean in this context.', 'trimmed': 'You have no idea what JFK could mean in this context.', 'probability': 4.1514207493144376e-17}, {'index': 3, 'original': 'No cell phone.', 'trimmed': 'No cell phone.', 'probability': 2.145134127725703e-26}]",0,,5,30,0.75,1,0,1,3
suggestion-hover,user,1630332974868,,,,281,[],0,0,5,30,0.75,1,0,1,4
suggestion-hover,user,1630332975167,,,,281,[],0,0,5,30,0.75,1,0,1,5
suggestion-select,user,1630332976172,,,,281,[],0,0,5,30,0.75,1,0,1,6
suggestion-close,api,1630332976173,,,,281,[],0,0,5,30,0.75,1,0,1,7
text-insert,api,1630332976187,"{'ops': [{'retain': 281}, {'insert': 'Puzzled, you call the number.'}]}",,,310,[],0,0,5,30,0.75,1,0,1,8
text-insert,user,1630332977486,"{'ops': [{'retain': 310}, {'insert': ' '}]}",,,311,[],0,0,5,30,0.75,1,0,1,9
suggestion-get,user,1630332978072,,,,311,[],0,0,5,30,0.75,1,0,1,10
suggestion-open,api,1630332980048,,,,311,"[{'index': 0, 'original': ""It's a number in Dallas."", 'trimmed': ""It's a number in Dallas."", 'probability': 3.701207868671696e-20}, {'index': 1, 'original': '""JFK?"" the voice on the other end answers.', 'trimmed': '""JFK?"" the voice on the other end answers.', 'probability': 1.474948820029557e-14}, {'index': 2, 'original': 'The person on the other line, a man named Oswald (yes this is not a drill), tells you that in 3 days time the world will be', 'trimmed': 'The person on the other line, a man named Oswald (yes this is not a drill), tells you that in 3 days time the world will be', 'probability': 8.767391521280008e-26}, {'index': 3, 'original': 'A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.', 'trimmed': 'A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.', 'probability': 4.488175642934913e-18}]",0,0,5,30,0.75,1,0,1,11
suggestion-hover,user,1630332980054,,,,311,[],0,0,5,30,0.75,1,0,1,12
suggestion-hover,user,1630332992333,,,,311,[],0,0,5,30,0.75,1,0,1,13
suggestion-hover,user,1630332992369,,,,311,[],0,1,5,30,0.75,1,0,1,14
suggestion-hover,user,1630332992400,,,,311,[],0,2,5,30,0.75,1,0,1,15
suggestion-hover,user,1630332992550,,,,311,[],0,3,5,30,0.75,1,0,1,16
suggestion-select,user,1630332993319,,,,311,[],3,3,5,30,0.75,1,0,1,17
suggestion-close,api,1630332993319,,,,311,[],3,3,5,30,0.75,1,0,1,18
text-insert,api,1630332993333,"{'ops': [{'retain': 311}, {'insert': 'A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.'}]}",,,408,[],3,3,5,30,0.75,1,0,1,19
text-insert,user,1630333004420,"{'ops': [{'retain': 408}, {'insert': ' '}]}",,,409,[],3,3,5,30,0.75,1,0,1,20
text-insert,user,1630333004548,"{'ops': [{'retain': 409}, {'insert': ' '}]}",,,410,[],3,3,5,30,0.75,1,0,1,21
text-insert,user,1630333006638,"{'ops': [{'retain': 410}, {'insert': 'T'}]}",,,411,[],3,3,5,30,0.75,1,0,1,22
text-insert,user,1630333006949,"{'ops': [{'retain': 411}, {'insert': 'w'}]}",,,412,[],3,3,5,30,0.75,1,0,1,23
text-insert,user,1630333007199,"{'ops': [{'retain': 412}, {'insert': 'o'}]}",,,413,[],3,3,5,30,0.75,1,0,1,24
text-insert,user,1630333007404,"{'ops': [{'retain': 413}, {'insert': ' '}]}",,,414,[],3,3,5,30,0.75,1,0,1,25
text-insert,user,1630333007704,"{'ops': [{'retain': 414}, {'insert': 'h'}]}",,,415,[],3,3,5,30,0.75,1,0,1,26
text-insert,user,1630333007829,"{'ops': [{'retain': 415}, {'insert': 'o'}]}",,,416,[],3,3,5,30,0.75,1,0,1,27
text-insert,user,1630333007971,"{'ops': [{'retain': 416}, {'insert': 'u'}]}",,,417,[],3,3,5,30,0.75,1,0,1,28
text-insert,user,1630333008211,"{'ops': [{'retain': 417}, {'insert': 'r'}]}",,,418,[],3,3,5,30,0.75,1,0,1,29
text-insert,user,1630333008409,"{'ops': [{'retain': 418}, {'insert': 's'}]}",,,419,[],3,3,5,30,0.75,1,0,1,30
text-insert,user,1630333008896,"{'ops': [{'retain': 419}, {'insert': ' '}]}",,,420,[],3,3,5,30,0.75,1,0,1,31
text-insert,user,1630333009530,"{'ops': [{'retain': 420}, {'insert': 'l'}]}",,,421,[],3,3,5,30,0.75,1,0,1,32
text-insert,user,1630333009691,"{'ops': [{'retain': 421}, {'insert': 'a'}]}",,,422,[],3,3,5,30,0.75,1,0,1,33
text-insert,user,1630333009936,"{'ops': [{'retain': 422}, {'insert': 't'}]}",,,423,[],3,3,5,30,0.75,1,0,1,34
text-insert,user,1630333010066,"{'ops': [{'retain': 423}, {'insert': 'e'}]}",,,424,[],3,3,5,30,0.75,1,0,1,35
text-insert,user,1630333010184,"{'ops': [{'retain': 424}, {'insert': 'r'}]}",,,425,[],3,3,5,30,0.75,1,0,1,36
text-insert,user,1630333010385,"{'ops': [{'retain': 425}, {'insert': ' '}]}",,,426,[],3,3,5,30,0.75,1,0,1,37
text-insert,user,1630333026670,"{'ops': [{'retain': 426}, {'insert': 'I'}]}",,,427,[],3,3,5,30,0.75,1,0,1,38
text-delete,user,1630333027337,"{'ops': [{'retain': 426}, {'delete': 1}]}",,,426,[],3,3,5,30,0.75,1,0,1,39
text-insert,user,1630333032642,"{'ops': [{'retain': 426}, {'insert': 'O'}]}",,,427,[],3,3,5,30,0.75,1,0,1,40
text-insert,user,1630333032981,"{'ops': [{'retain': 427}, {'insert': 'b'}]}",,,428,[],3,3,5,30,0.75,1,0,1,41
text-insert,user,1630333034277,"{'ops': [{'retain': 428}, {'insert': 'a'}]}",,,429,[],3,3,5,30,0.75,1,0,1,42
text-insert,user,1630333034469,"{'ops': [{'retain': 429}, {'insert': 'm'}]}",,,430,[],3,3,5,30,0.75,1,0,1,43
text-insert,user,1630333034581,"{'ops': [{'retain': 430}, {'insert': 'a'}]}",,,431,[],3,3,5,30,0.75,1,0,1,44
text-insert,user,1630333034709,"{'ops': [{'retain': 431}, {'insert': ' '}]}",,,432,[],3,3,5,30,0.75,1,0,1,45
text-insert,user,1630333035244,"{'ops': [{'retain': 432}, {'insert': 'i'}]}",,,433,[],3,3,5,30,0.75,1,0,1,46
text-insert,user,1630333035437,"{'ops': [{'retain': 433}, {'insert': 's'}]}",,,434,[],3,3,5,30,0.75,1,0,1,47
text-insert,user,1630333035562,"{'ops': [{'retain': 434}, {'insert': ' '}]}",,,435,[],3,3,5,30,0.75,1,0,1,48
text-insert,user,1630333036175,"{'ops': [{'retain': 435}, {'insert': 'o'}]}",,,436,[],3,3,5,30,0.75,1,0,1,49
text-insert,user,1630333036377,"{'ops': [{'retain': 436}, {'insert': 'n'}]}",,,437,[],3,3,5,30,0.75,1,0,1,50
text-insert,user,1630333036534,"{'ops': [{'retain': 437}, {'insert': ' '}]}",,,438,[],3,3,5,30,0.75,1,0,1,51
text-insert,user,1630333036728,"{'ops': [{'retain': 438}, {'insert': 'a'}]}",,,439,[],3,3,5,30,0.75,1,0,1,52
text-insert,user,1630333036818,"{'ops': [{'retain': 439}, {'insert': ' '}]}",,,440,[],3,3,5,30,0.75,1,0,1,53
text-insert,user,1630333037545,"{'ops': [{'retain': 440}, {'insert': 'p'}]}",,,441,[],3,3,5,30,0.75,1,0,1,54
text-insert,user,1630333037835,"{'ops': [{'retain': 441}, {'insert': 'r'}]}",,,442,[],3,3,5,30,0.75,1,0,1,55
text-insert,user,1630333038080,"{'ops': [{'retain': 442}, {'insert': 'i'}]}",,,443,[],3,3,5,30,0.75,1,0,1,56
text-insert,user,1630333038390,"{'ops': [{'retain': 443}, {'insert': 'v'}]}",,,444,[],3,3,5,30,0.75,1,0,1,57
text-insert,user,1630333038464,"{'ops': [{'retain': 444}, {'insert': 'a'}]}",,,445,[],3,3,5,30,0.75,1,0,1,58
text-insert,user,1630333038632,"{'ops': [{'retain': 445}, {'insert': 't'}]}",,,446,[],3,3,5,30,0.75,1,0,1,59
text-insert,user,1630333038767,"{'ops': [{'retain': 446}, {'insert': 'e'}]}",,,447,[],3,3,5,30,0.75,1,0,1,60
text-insert,user,1630333038875,"{'ops': [{'retain': 447}, {'insert': ' '}]}",,,448,[],3,3,5,30,0.75,1,0,1,61
text-insert,user,1630333040031,"{'ops': [{'retain': 448}, {'insert': 'j'}]}",,,449,[],3,3,5,30,0.75,1,0,1,62
text-insert,user,1630333040285,"{'ops': [{'retain': 449}, {'insert': 'e'}]}",,,450,[],3,3,5,30,0.75,1,0,1,63
text-insert,user,1630333040710,"{'ops': [{'retain': 450}, {'insert': 't'}]}",,,451,[],3,3,5,30,0.75,1,0,1,64
text-insert,user,1630333040894,"{'ops': [{'retain': 451}, {'insert': ' '}]}",,,452,[],3,3,5,30,0.75,1,0,1,65
text-insert,user,1630333041279,"{'ops': [{'retain': 452}, {'insert': 't'}]}",,,453,[],3,3,5,30,0.75,1,0,1,66
text-insert,user,1630333041432,"{'ops': [{'retain': 453}, {'insert': 'o'}]}",,,454,[],3,3,5,30,0.75,1,0,1,67
text-insert,user,1630333041597,"{'ops': [{'retain': 454}, {'insert': ' '}]}",,,455,[],3,3,5,30,0.75,1,0,1,68
text-insert,user,1630333042071,"{'ops': [{'retain': 455}, {'insert': 'D'}]}",,,456,[],3,3,5,30,0.75,1,0,1,69
text-insert,user,1630333042756,"{'ops': [{'retain': 456}, {'insert': '.'}]}",,,457,[],3,3,5,30,0.75,1,0,1,70
text-insert,user,1630333043218,"{'ops': [{'retain': 457}, {'insert': 'C'}]}",,,458,[],3,3,5,30,0.75,1,0,1,71
text-insert,user,1630333043767,"{'ops': [{'retain': 458}, {'insert': '.'}]}",,,459,[],3,3,5,30,0.75,1,0,1,72
text-insert,user,1630333044878,"{'ops': [{'retain': 459}, {'insert': '.'}]}",,,460,[],3,3,5,30,0.75,1,0,1,73
text-insert,user,1630333045073,"{'ops': [{'retain': 460}, {'insert': ' '}]}",,,461,[],3,3,5,30,0.75,1,0,1,74
text-insert,user,1630333045203,"{'ops': [{'retain': 461}, {'insert': ' '}]}",,,462,[],3,3,5,30,0.75,1,0,1,75
text-insert,user,1630333048788,"{'ops': [{'retain': 462}, {'insert': 'Y'}]}",,,463,[],3,3,5,30,0.75,1,0,1,76
text-insert,user,1630333049121,"{'ops': [{'retain': 463}, {'insert': 'o'}]}",,,464,[],3,3,5,30,0.75,1,0,1,77
text-insert,user,1630333049339,"{'ops': [{'retain': 464}, {'insert': 'u'}]}",,,465,[],3,3,5,30,0.75,1,0,1,78
text-insert,user,1630333049574,"{'ops': [{'retain': 465}, {'insert': ' '}]}",,,466,[],3,3,5,30,0.75,1,0,1,79
text-insert,user,1630333049923,"{'ops': [{'retain': 466}, {'insert': 'w'}]}",,,467,[],3,3,5,30,0.75,1,0,1,80
text-insert,user,1630333050044,"{'ops': [{'retain': 467}, {'insert': 'o'}]}",,,468,[],3,3,5,30,0.75,1,0,1,81
text-insert,user,1630333050224,"{'ops': [{'retain': 468}, {'insert': 'n'}]}",,,469,[],3,3,5,30,0.75,1,0,1,82
text-insert,user,1630333050555,"{'ops': [{'retain': 469}, {'insert': 'd'}]}",,,470,[],3,3,5,30,0.75,1,0,1,83
text-insert,user,1630333050763,"{'ops': [{'retain': 470}, {'insert': 'e'}]}",,,471,[],3,3,5,30,0.75,1,0,1,84
text-insert,user,1630333050840,"{'ops': [{'retain': 471}, {'insert': 'r'}]}",,,472,[],3,3,5,30,0.75,1,0,1,85
text-insert,user,1630333051024,"{'ops': [{'retain': 472}, {'insert': ' '}]}",,,473,[],3,3,5,30,0.75,1,0,1,86
text-insert,user,1630333052415,"{'ops': [{'retain': 473}, {'insert': 'w'}]}",,,474,[],3,3,5,30,0.75,1,0,1,87
text-insert,user,1630333052549,"{'ops': [{'retain': 474}, {'insert': 'h'}]}",,,475,[],3,3,5,30,0.75,1,0,1,88
text-insert,user,1630333052683,"{'ops': [{'retain': 475}, {'insert': 'a'}]}",,,476,[],3,3,5,30,0.75,1,0,1,89
text-insert,user,1630333052815,"{'ops': [{'retain': 476}, {'insert': 't'}]}",,,477,[],3,3,5,30,0.75,1,0,1,90
text-insert,user,1630333052977,"{'ops': [{'retain': 477}, {'insert': ' '}]}",,,478,[],3,3,5,30,0.75,1,0,1,91
text-insert,user,1630333053120,"{'ops': [{'retain': 478}, {'insert': 't'}]}",,,479,[],3,3,5,30,0.75,1,0,1,92
text-insert,user,1630333053298,"{'ops': [{'retain': 479}, {'insert': 'h'}]}",,,480,[],3,3,5,30,0.75,1,0,1,93
text-insert,user,1630333053422,"{'ops': [{'retain': 480}, {'insert': 'i'}]}",,,481,[],3,3,5,30,0.75,1,0,1,94
text-insert,user,1630333053574,"{'ops': [{'retain': 481}, {'insert': 's'}]}",,,482,[],3,3,5,30,0.75,1,0,1,95
text-insert,user,1630333053689,"{'ops': [{'retain': 482}, {'insert': ' '}]}",,,483,[],3,3,5,30,0.75,1,0,1,96
text-insert,user,1630333054356,"{'ops': [{'retain': 483}, {'insert': 'c'}]}",,,484,[],3,3,5,30,0.75,1,0,1,97
text-insert,user,1630333054514,"{'ops': [{'retain': 484}, {'insert': 'o'}]}",,,485,[],3,3,5,30,0.75,1,0,1,98
text-insert,user,1630333054613,"{'ops': [{'retain': 485}, {'insert': 'u'}]}",,,486,[],3,3,5,30,0.75,1,0,1,99
text-insert,user,1630333054769,"{'ops': [{'retain': 486}, {'insert': 'l'}]}",,,487,[],3,3,5,30,0.75,1,0,1,100
text-insert,user,1630333054870,"{'ops': [{'retain': 487}, {'insert': 'd'}]}",,,488,[],3,3,5,30,0.75,1,0,1,101
text-insert,user,1630333055001,"{'ops': [{'retain': 488}, {'insert': ' '}]}",,,489,[],3,3,5,30,0.75,1,0,1,102
text-insert,user,1630333055229,"{'ops': [{'retain': 489}, {'insert': 'b'}]}",,,490,[],3,3,5,30,0.75,1,0,1,103
text-insert,user,1630333055302,"{'ops': [{'retain': 490}, {'insert': 'e'}]}",,,491,[],3,3,5,30,0.75,1,0,1,104
text-insert,user,1630333055725,"{'ops': [{'retain': 491}, {'insert': ','}]}",,,492,[],3,3,5,30,0.75,1,0,1,105
text-insert,user,1630333055860,"{'ops': [{'retain': 492}, {'insert': ' '}]}",,,493,[],3,3,5,30,0.75,1,0,1,106
suggestion-get,user,1630333057311,,,,493,[],3,3,5,30,0.75,1,0,1,107
suggestion-open,api,1630333059303,,,,493,"[{'index': 0, 'original': 'and who could be responsible.', 'trimmed': 'and who could be responsible.', 'probability': 5.1219055329751085e-18}, {'index': 1, 'original': 'but soon realize that you always had a calling to do something greater.', 'trimmed': 'but soon realize that you always had a calling to do something greater.', 'probability': 1.0586044222085333e-24}, {'index': 2, 'original': ""but the plane lands and you're greeted by an older black man in a grey suit."", 'trimmed': ""but the plane lands and you're greeted by an older black man in a grey suit."", 'probability': 1.6308690563835508e-21}, {'index': 3, 'original': ""but you know deep down that John F. Kennedy wouldn't ask you to come back for anything less than a momentous occasion."", 'trimmed': ""but you know deep down that John F. Kennedy wouldn't ask you to come back for anything less than a momentous occasion."", 'probability': 1.627533936827824e-14}, {'index': 4, 'original': ""you know for certain it's not a prank."", 'trimmed': ""you know for certain it's not a prank."", 'probability': 7.428817528732487e-24}]",0,3,5,30,0.75,1,0,1,108
suggestion-select,user,1630333076580,,,,493,[],0,0,5,30,0.75,1,0,1,109
suggestion-close,api,1630333076580,,,,493,[],0,0,5,30,0.75,1,0,1,110
text-insert,api,1630333076589,"{'ops': [{'retain': 493}, {'insert': 'and who could be responsible.'}]}",,,522,[],0,0,5,30,0.75,1,0,1,111
text-insert,user,1630333077686,"{'ops': [{'retain': 522}, {'insert': ' '}]}",,,523,[],0,0,5,30,0.75,1,0,1,112
text-insert,user,1630333077820,"{'ops': [{'retain': 523}, {'insert': ' '}]}",,,524,[],0,0,5,30,0.75,1,0,1,113
text-insert,user,1630333078782,"{'ops': [{'retain': 524}, {'insert': 'Y'}]}",,,525,[],0,0,5,30,0.75,1,0,1,114
text-insert,user,1630333079930,"{'ops': [{'retain': 525}, {'insert': 'o'}]}",,,526,[],0,0,5,30,0.75,1,0,1,115
text-insert,user,1630333080121,"{'ops': [{'retain': 526}, {'insert': 'u'}]}",,,527,[],0,0,5,30,0.75,1,0,1,116
text-insert,user,1630333080702,"{'ops': [{'retain': 527}, {'insert': ""'""}]}",,,528,[],0,0,5,30,0.75,1,0,1,117
text-insert,user,1630333081072,"{'ops': [{'retain': 528}, {'insert': 'v'}]}",,,529,[],0,0,5,30,0.75,1,0,1,118
text-insert,user,1630333081229,"{'ops': [{'retain': 529}, {'insert': 'e'}]}",,,530,[],0,0,5,30,0.75,1,0,1,119
text-insert,user,1630333081302,"{'ops': [{'retain': 530}, {'insert': ' '}]}",,,531,[],0,0,5,30,0.75,1,0,1,120
text-insert,user,1630333081637,"{'ops': [{'retain': 531}, {'insert': 'h'}]}",,,532,[],0,0,5,30,0.75,1,0,1,121
text-insert,user,1630333081794,"{'ops': [{'retain': 532}, {'insert': 'e'}]}",,,533,[],0,0,5,30,0.75,1,0,1,122
text-insert,user,1630333082095,"{'ops': [{'retain': 533}, {'insert': 'l'}]}",,,534,[],0,0,5,30,0.75,1,0,1,123
text-insert,user,1630333082438,"{'ops': [{'retain': 534}, {'insert': 'd'}]}",,,535,[],0,0,5,30,0.75,1,0,1,124
text-insert,user,1630333082492,"{'ops': [{'retain': 535}, {'insert': ' '}]}",,,536,[],0,0,5,30,0.75,1,0,1,125
text-insert,user,1630333082659,"{'ops': [{'retain': 536}, {'insert': 't'}]}",,,537,[],0,0,5,30,0.75,1,0,1,126
text-insert,user,1630333082734,"{'ops': [{'retain': 537}, {'insert': 'h'}]}",,,538,[],0,0,5,30,0.75,1,0,1,127
text-insert,user,1630333082801,"{'ops': [{'retain': 538}, {'insert': 'e'}]}",,,539,[],0,0,5,30,0.75,1,0,1,128
text-insert,user,1630333082937,"{'ops': [{'retain': 539}, {'insert': ' '}]}",,,540,[],0,0,5,30,0.75,1,0,1,129
text-insert,user,1630333083418,"{'ops': [{'retain': 540}, {'insert': 'm'}]}",,,541,[],0,0,5,30,0.75,1,0,1,130
text-insert,user,1630333083551,"{'ops': [{'retain': 541}, {'insert': 'o'}]}",,,542,[],0,0,5,30,0.75,1,0,1,131
text-insert,user,1630333083721,"{'ops': [{'retain': 542}, {'insert': 's'}]}",,,543,[],0,0,5,30,0.75,1,0,1,132
text-insert,user,1630333083846,"{'ops': [{'retain': 543}, {'insert': 't'}]}",,,544,[],0,0,5,30,0.75,1,0,1,133
text-insert,user,1630333084015,"{'ops': [{'retain': 544}, {'insert': ' '}]}",,,545,[],0,0,5,30,0.75,1,0,1,134
text-insert,user,1630333084397,"{'ops': [{'retain': 545}, {'insert': 'i'}]}",,,546,[],0,0,5,30,0.75,1,0,1,135
text-insert,user,1630333084602,"{'ops': [{'retain': 546}, {'insert': 'm'}]}",,,547,[],0,0,5,30,0.75,1,0,1,136
text-insert,user,1630333084891,"{'ops': [{'retain': 547}, {'insert': 'p'}]}",,,548,[],0,0,5,30,0.75,1,0,1,137
text-insert,user,1630333085062,"{'ops': [{'retain': 548}, {'insert': 'o'}]}",,,549,[],0,0,5,30,0.75,1,0,1,138
text-insert,user,1630333085690,"{'ops': [{'retain': 549}, {'insert': 'r'}]}",,,550,[],0,0,5,30,0.75,1,0,1,139
text-insert,user,1630333085832,"{'ops': [{'retain': 550}, {'insert': 't'}]}",,,551,[],0,0,5,30,0.75,1,0,1,140
text-insert,user,1630333086003,"{'ops': [{'retain': 551}, {'insert': 'a'}]}",,,552,[],0,0,5,30,0.75,1,0,1,141
text-insert,user,1630333086325,"{'ops': [{'retain': 552}, {'insert': 'n'}]}",,,553,[],0,0,5,30,0.75,1,0,1,142
text-insert,user,1630333086545,"{'ops': [{'retain': 553}, {'insert': 't'}]}",,,554,[],0,0,5,30,0.75,1,0,1,143
text-insert,user,1630333086638,"{'ops': [{'retain': 554}, {'insert': ' '}]}",,,555,[],0,0,5,30,0.75,1,0,1,144
text-insert,user,1630333087852,"{'ops': [{'retain': 555}, {'insert': 'j'}]}",,,556,[],0,0,5,30,0.75,1,0,1,145
text-insert,user,1630333088237,"{'ops': [{'retain': 556}, {'insert': 'o'}]}",,,557,[],0,0,5,30,0.75,1,0,1,146
text-insert,user,1630333088474,"{'ops': [{'retain': 557}, {'insert': 'b'}]}",,,558,[],0,0,5,30,0.75,1,0,1,147
text-insert,user,1630333088634,"{'ops': [{'retain': 558}, {'insert': ' '}]}",,,559,[],0,0,5,30,0.75,1,0,1,148
text-insert,user,1630333088923,"{'ops': [{'retain': 559}, {'insert': 'i'}]}",,,560,[],0,0,5,30,0.75,1,0,1,149
text-insert,user,1630333089124,"{'ops': [{'retain': 560}, {'insert': 'n'}]}",,,561,[],0,0,5,30,0.75,1,0,1,150
text-insert,user,1630333089276,"{'ops': [{'retain': 561}, {'insert': ' '}]}",,,562,[],0,0,5,30,0.75,1,0,1,151
text-insert,user,1630333089414,"{'ops': [{'retain': 562}, {'insert': 't'}]}",,,563,[],0,0,5,30,0.75,1,0,1,152
text-insert,user,1630333089528,"{'ops': [{'retain': 563}, {'insert': 'h'}]}",,,564,[],0,0,5,30,0.75,1,0,1,153
text-insert,user,1630333089598,"{'ops': [{'retain': 564}, {'insert': 'e'}]}",,,565,[],0,0,5,30,0.75,1,0,1,154
text-insert,user,1630333089693,"{'ops': [{'retain': 565}, {'insert': ' '}]}",,,566,[],0,0,5,30,0.75,1,0,1,155
text-insert,user,1630333090156,"{'ops': [{'retain': 566}, {'insert': 'w'}]}",,,567,[],0,0,5,30,0.75,1,0,1,156
text-insert,user,1630333090358,"{'ops': [{'retain': 567}, {'insert': 'o'}]}",,,568,[],0,0,5,30,0.75,1,0,1,157
text-insert,user,1630333090553,"{'ops': [{'retain': 568}, {'insert': 'r'}]}",,,569,[],0,0,5,30,0.75,1,0,1,158
text-insert,user,1630333090678,"{'ops': [{'retain': 569}, {'insert': 'l'}]}",,,570,[],0,0,5,30,0.75,1,0,1,159
text-insert,user,1630333090881,"{'ops': [{'retain': 570}, {'insert': 'd'}]}",,,571,[],0,0,5,30,0.75,1,0,1,160
text-insert,user,1630333091078,"{'ops': [{'retain': 571}, {'insert': ','}]}",,,572,[],0,0,5,30,0.75,1,0,1,161
text-insert,user,1630333091228,"{'ops': [{'retain': 572}, {'insert': ' '}]}",,,573,[],0,0,5,30,0.75,1,0,1,162
text-insert,user,1630333091850,"{'ops': [{'retain': 573}, {'insert': 'w'}]}",,,574,[],0,0,5,30,0.75,1,0,1,163
text-insert,user,1630333092007,"{'ops': [{'retain': 574}, {'insert': 'h'}]}",,,575,[],0,0,5,30,0.75,1,0,1,164
text-insert,user,1630333092181,"{'ops': [{'retain': 575}, {'insert': 'a'}]}",,,576,[],0,0,5,30,0.75,1,0,1,165
text-insert,user,1630333092263,"{'ops': [{'retain': 576}, {'insert': 't'}]}",,,577,[],0,0,5,30,0.75,1,0,1,166
text-insert,user,1630333092417,"{'ops': [{'retain': 577}, {'insert': ' '}]}",,,578,[],0,0,5,30,0.75,1,0,1,167
text-insert,user,1630333092903,"{'ops': [{'retain': 578}, {'insert': 'e'}]}",,,579,[],0,0,5,30,0.75,1,0,1,168
text-insert,user,1630333093130,"{'ops': [{'retain': 579}, {'insert': 'l'}]}",,,580,[],0,0,5,30,0.75,1,0,1,169
