,eventName,currentDoc,eventSource,insert,delete,revise,relocate,reflect,seekSugg,acceptSugg,dismissSugg,lowModification,highModification,narrativeProg,stylisticDev,characterization,argument,evidence,counterArg,rebuttal
0,suggestion-get, ,user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
",api,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
2,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God.",api,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
4,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
6,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon."" ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God.",api,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,text-insert," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
10,suggestion-get," 
After the film, you enter a door and find yourself in another cinema with about five hundred people.
 You wonder what they are gathered around for. A man in a tuxedo walks up to you and introduces himself as God. He tells you that your time has come, and he is ready to take you to heaven.  

""I am a little shocked. I'm not ready. It's too soon.""  

""No problem,"" says God. ""We have a special program for those with sudden death syndrome.""

""I didn't know I had sudden death syndrome. I didn't know I died!"" ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
