,eventName,currentDoc,eventSource,compose,insert,delete,revise,reviseSugg,relocate,reflect,seekSugg,acceptSugg,dismissSugg,lowModification,highModification,highTemp,lowTemp
0,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. w",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,text-delete,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. ",user,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. W",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
4,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
5,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We ",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
6,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We a",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
7,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We ar",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
8,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are ",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
10,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are a",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
11,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are al",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
12,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
13,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all ",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
14,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all l",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
15,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lo",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
16,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lon",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
17,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lone",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
18,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lones",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
19,text-delete,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lone",user,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonel",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
21,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
22,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely ",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
23,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely s",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
24,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely sp",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
25,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely spi",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
26,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely spir",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
27,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely spiri",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
28,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely spirit",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
29,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely spirits",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
30,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely spirits ",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
31,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely spirits w",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
32,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely spirits wi",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
33,text-delete,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely spirits w",user,0,0,1,0,0,0,0,0,0,0,0,0,0,1
34,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely spirits wa",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
35,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely spirits wai",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
36,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely spirits wait",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
37,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely spirits waiti",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
38,text-delete,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely spirits wait",user,0,0,1,0,0,0,0,0,0,0,0,0,0,1
39,text-insert,"When you die, you appear in a cinema with a number of other people who look like you. You find out that they are your previous reincarnations, and soon you all begin watching your next life on the big screen. We are all lonely spirits waiti",user,1,1,0,0,0,0,0,0,0,0,0,0,0,1
