,eventName,currentDoc,eventSource,insert,delete,revise,relocate,reflect,seekSugg,acceptSugg,dismissSugg,lowModification,highModification,narrativeProg,stylisticDev,characterization,argument,evidence,counterArg,rebuttal
0,suggestion-get, ,user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,text-insert," Puzzled, you call the number.",api,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
2,suggestion-get," Puzzled, you call the number. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,text-insert," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.",api,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
4,suggestion-get," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.  Two hours later Obama is on a private jet to D.C..  You wonder what this could be, ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,text-insert," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.  Two hours later Obama is on a private jet to D.C..  You wonder what this could be, and who could be responsible.",api,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
6,suggestion-get," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.  Two hours later Obama is on a private jet to D.C..  You wonder what this could be, and who could be responsible.  You've held the most important job in the world, what else could there be.  ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,text-insert," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.  Two hours later Obama is on a private jet to D.C..  You wonder what this could be, and who could be responsible.  You've held the most important job in the world, what else could there be.  Not wanting to waste time, you walk from the landing strip to the Old Executive Office Building.",api,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
8,text-delete," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.  Two hours later Obama is on a private jet to D.C..  You wonder what this could be, and who could be responsible.  You've held the most important job in the world, what else could there be.  Not wanting to waste time, y from the landing strip to the Old Executive Office Building.",user,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
9,text-insert," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.  Two hours later Obama is on a private jet to D.C..  You wonder what this could be, and who could be responsible.  You've held the most important job in the world, what else could there be.  Not wanting to waste time, yo from the landing strip to the Old Executive Office Building.",user,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
10,text-insert," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.  Two hours later Obama is on a private jet to D.C..  You wonder what this could be, and who could be responsible.  You've held the most important job in the world, what else could there be.  Not wanting to waste time, you from the landing strip to the Old Executive Office Building.",user,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
11,text-insert," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.  Two hours later Obama is on a private jet to D.C..  You wonder what this could be, and who could be responsible.  You've held the most important job in the world, what else could there be.  Not wanting to waste time, you  from the landing strip to the Old Executive Office Building.",user,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
12,text-insert," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.  Two hours later Obama is on a private jet to D.C..  You wonder what this could be, and who could be responsible.  You've held the most important job in the world, what else could there be.  Not wanting to waste time, you a from the landing strip to the Old Executive Office Building.",user,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
13,text-insert," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.  Two hours later Obama is on a private jet to D.C..  You wonder what this could be, and who could be responsible.  You've held the most important job in the world, what else could there be.  Not wanting to waste time, you ar from the landing strip to the Old Executive Office Building.",user,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
14,text-insert," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.  Two hours later Obama is on a private jet to D.C..  You wonder what this could be, and who could be responsible.  You've held the most important job in the world, what else could there be.  Not wanting to waste time, you are from the landing strip to the Old Executive Office Building.",user,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
15,text-insert," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.  Two hours later Obama is on a private jet to D.C..  You wonder what this could be, and who could be responsible.  You've held the most important job in the world, what else could there be.  Not wanting to waste time, you are  from the landing strip to the Old Executive Office Building.",user,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
16,text-insert," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.  Two hours later Obama is on a private jet to D.C..  You wonder what this could be, and who could be responsible.  You've held the most important job in the world, what else could there be.  Not wanting to waste time, you are w from the landing strip to the Old Executive Office Building.",user,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
17,text-insert," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.  Two hours later Obama is on a private jet to D.C..  You wonder what this could be, and who could be responsible.  You've held the most important job in the world, what else could there be.  Not wanting to waste time, you are wh from the landing strip to the Old Executive Office Building.",user,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
18,text-insert," Puzzled, you call the number. A voice on the other end tells you to meet ""him"" in an hour at the Old Executive Office Building.  Two hours later Obama is on a private jet to D.C..  You wonder what this could be, and who could be responsible.  You've held the most important job in the world, what else could there be.  Not wanting to waste time, you are whi from the landing strip to the Old Executive Office Building.",user,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
