,eventName,currentDoc,eventSource,insert,delete,revise,relocate,reflect,seekSugg,acceptSugg,dismissSugg,lowModification,highModification,narrativeProg,stylisticDev,characterization,argument,evidence,counterArg,rebuttal
0,suggestion-get, ,user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,text-insert," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life.",api,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
2,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,text-insert," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
4,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,text-insert," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
6,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!""",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,text-insert," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black.",api,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
8,suggestion-get," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,text-insert," You watch as you slowly become an adult, get married, have kids and experience all the highs and lows of life. 

During the film, a wave of nostalgia comes over. You look at the people around you who are also experiencing that wave, and then you realize that it has been happening every time someone in your previous life. Things like regrets and missed chances rush through your mind. You then realize that you have never truly lived life to the fullest and you want to change that. 

You stand up in the cinema and shout, ""Stop!"" The screen goes black. Everyone in the audience looks up, confused. 

""I'm sorry. I'm sorry, but I can't let the film go on. I need to make it better."" You turn to the man sitting next to you.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
