,eventName,currentDoc,eventSource,sentIndex,compose,insert,delete,revise,relocate,reflect,seekSugg,acceptSugg,dismissSugg,lowModification,highModification,highTemp,lowTemp
0,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.T",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Th",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Thy",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
3,text-delete,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Th",user,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.The",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
5,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.They",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
6,text-delete,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.The",user,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Thei",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
8,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
9,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their ",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
10,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their a",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
11,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their ar",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
12,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arr",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
13,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arro",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
14,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrog",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
15,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arroga",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
16,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogan",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
17,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arroganc",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
18,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
19,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance ",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
20,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance g",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
21,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance go",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
22,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
23,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got ",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
24,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got t",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
25,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got th",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
26,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
27,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the ",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
28,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the b",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
29,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the be",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
30,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the bes",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
31,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
32,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best ",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
33,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best o",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
34,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
35,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of ",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
36,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of t",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
37,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of th",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
38,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of the",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
39,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of them",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
40,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of them.",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
41,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of them. ",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
42,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of them. T",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
43,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of them. Th",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
44,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of them. The",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
45,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of them. They",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
46,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of them. They ",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
47,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of them. They s",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
48,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of them. They sa",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
49,text-insert,"An alien has kidnapped Matt Damon, not knowing what lengths humanity goes through to retrieve him whenever he goes missing.Their arrogance got the best of them. They saw",user,0,1,1,0,0,0,0,0,0,0,0,0,1,0
