session_id,worker_id,genre,event_id,eventName,currentDoc,eventSource,sentSeq,sentIndex,compose,delete,relocate,reflect,seekSugg,acceptSugg,dismissSugg,reviseSugg,reviseUser,lowModification,highModification,highTemp,lowTemp
11e8186be4314e93852c7677b430fba3,A23KAJRDVCVGOE,creative,0,text-insert,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" Y",user,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1
11e8186be4314e93852c7677b430fba3,A23KAJRDVCVGOE,creative,1,text-insert,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" Yo",user,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1
11e8186be4314e93852c7677b430fba3,A23KAJRDVCVGOE,creative,2,text-insert,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You",user,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1
11e8186be4314e93852c7677b430fba3,A23KAJRDVCVGOE,creative,3,text-insert,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You a",user,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1
11e8186be4314e93852c7677b430fba3,A23KAJRDVCVGOE,creative,4,text-insert,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You au",user,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1
11e8186be4314e93852c7677b430fba3,A23KAJRDVCVGOE,creative,5,text-delete,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You a",user,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1
11e8186be4314e93852c7677b430fba3,A23KAJRDVCVGOE,creative,6,text-insert,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You q",user,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1
11e8186be4314e93852c7677b430fba3,A23KAJRDVCVGOE,creative,7,text-insert,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You qu",user,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1
11e8186be4314e93852c7677b430fba3,A23KAJRDVCVGOE,creative,8,text-insert,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You qui",user,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1
11e8186be4314e93852c7677b430fba3,A23KAJRDVCVGOE,creative,9,text-insert,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You quic",user,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1
11e8186be4314e93852c7677b430fba3,A23KAJRDVCVGOE,creative,10,text-insert,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You quicl",user,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1
11e8186be4314e93852c7677b430fba3,A23KAJRDVCVGOE,creative,11,text-insert,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You quicly",user,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1
11e8186be4314e93852c7677b430fba3,A23KAJRDVCVGOE,creative,12,text-delete,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You quicly",user,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1
11e8186be4314e93852c7677b430fba3,A23KAJRDVCVGOE,creative,13,text-delete,"Your entire life, you've been told you're deathly allergic to bees. You've always had people protecting you from them, be it your mother or a hired hand. Today, one slips through and lands on your shoulder. You hear a tiny voice say ""Your Majesty, what are your orders?"" You quicl",user,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1
