session_id,worker_id,genre,satisfaction,confidence,ownershipSurvey,ownershipMetadata,eventName,event_id,currentDoc,eventSource,sentIndex,sentSeq,compose,delete,relocate,reflect,seekSugg,acceptSugg,dismissSugg,reviseSugg,reviseUser,lowModification,highModification,highTemp,lowTemp
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-insert,0,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. I",user,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-insert,1,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. In",user,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-insert,2,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Ins",user,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-insert,3,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Inst",user,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-insert,4,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Inste",user,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-insert,5,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Instea",user,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-insert,6,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Instead",user,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-insert,7,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Instead,",user,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-insert,8,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Instead, t",user,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-insert,9,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Instead, th",user,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-insert,10,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Instead, the",user,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-insert,11,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Instead, they",user,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-delete,12,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Instead, they",user,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-delete,13,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Instead, the",user,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-delete,14,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Instead, th",user,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1
50b12e356bc94c72bec03b35dea37fb2,A2WGW5Y3ZFBDEC,creative,High,Low,api,api,text-delete,15,"Following World War III, all the nations of the world agreed to 50 years of strict isolation from one another in order to prevent additional conflicts. 50 years later, the United States comes out of exile, only to learn that no one else went into isolation. Instead, t",user,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1
