session_id,worker_id,genre,eventName,eventTimestamp,ownershipMetadata,eventSource,event_id,sentIndex,sentSeq,compose,delete,relocate,reflect,seekSugg,acceptSugg,dismissSugg,reopenSugg,reviseSugg,hoverSugg,reviseUser,cursorFwd,cursorBwd,cursorSelect,lowModification,highModification,highTemp,lowTemp
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,suggestion-get,08/25/2021 05:27:40:192000,user,user,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,suggestion-hover,08/25/2021 05:27:48:903000,user,user,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,suggestion-hover,08/25/2021 05:27:49:051000,user,user,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,suggestion-hover,08/25/2021 05:27:49:701000,user,user,3,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,cursor-backward,08/25/2021 05:27:53:663000,user,user,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,text-delete,08/25/2021 05:27:54:205000,user,user,5,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,text-insert,08/25/2021 05:27:57:213000,user,user,6,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,text-insert,08/25/2021 05:27:57:350000,user,user,7,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,text-insert,08/25/2021 05:27:57:409000,user,user,8,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,text-insert,08/25/2021 05:27:57:545000,user,user,9,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,text-insert,08/25/2021 05:27:57:615000,user,user,10,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,text-insert,08/25/2021 05:27:57:733000,user,user,11,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,text-insert,08/25/2021 05:27:57:922000,user,user,12,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,text-insert,08/25/2021 05:27:58:049000,user,user,13,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,text-insert,08/25/2021 05:27:58:146000,user,user,14,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,text-insert,08/25/2021 05:27:58:331000,user,user,15,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,text-insert,08/25/2021 05:27:58:442000,user,user,16,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25742b852b764843b15266008afdc15d,A6KOTWP7N7RLU,creative,text-insert,08/25/2021 05:27:58:610000,user,user,17,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
