,eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum
0,system-initialize,api,1629921272880,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the “Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.",292,[],0,,5,30,0.3,1,0,0,0
1,text-insert,user,1629921290821,"{'ops': [{'retain': 292}, {'insert': '\n'}]}",,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the “Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.
",292,[],0,,5,30,0.3,1,0,0,1
2,suggestion-get,user,1629921311688,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the “Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.
",293,[],0,,5,30,0.3,1,0,0,2
3,suggestion-open,api,1629921314445,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the “Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.
",293,"[{'index': 0, 'original': '\nThis is the premise of the new novel by the author of The Martian, Andy Weir.', 'trimmed': 'This is the premise of the new novel by the author of The Martian, Andy Weir.', 'probability': 3.0865488911308608e-18}, {'index': 1, 'original': '\nYou’re a young, ambitious, and very talented scientist who has been working on a project for the past five years.', 'trimmed': 'You’re a young, ambitious, and very talented scientist who has been working on a project for the past five years.', 'probability': 3.957098056568124e-20}, {'index': 2, 'original': '\nThe Lost Generations is a story about the lives of the people who were denied immortality, and how they cope with their lives.', 'trimmed': 'The Lost Generations is a story about the lives of the people who were denied immortality, and how they cope with their lives.', 'probability': 3.056130177928974e-17}, {'index': 3, 'original': '\nThe drug has caused your body to stop aging, but also to stop producing the hormones that make you feel emotions.', 'trimmed': 'The drug has caused your body to stop aging, but also to stop producing the hormones that make you feel emotions.', 'probability': 5.994721212301847e-20}, {'index': 4, 'original': '\nThe Lost Generations is a science fiction short story by Robert Reed.', 'trimmed': 'The Lost Generations is a science fiction short story by Robert Reed.', 'probability': 8.495511814879023e-14}]",0,,5,30,0.3,1,0,0,3
4,suggestion-hover,user,1629921314449,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the “Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.
",293,[],0,0,5,30,0.3,1,0,0,4
5,suggestion-hover,user,1629921315012,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the “Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.
",293,[],0,0,5,30,0.3,1,0,0,5
6,suggestion-hover,user,1629921316478,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the “Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.
",293,[],0,0,5,30,0.3,1,0,0,6
7,suggestion-hover,user,1629921316610,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the “Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.
",293,[],0,1,5,30,0.3,1,0,0,7
8,suggestion-hover,user,1629921317593,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the “Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.
",293,[],0,2,5,30,0.3,1,0,0,8
9,suggestion-hover,user,1629921317645,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the “Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.
",293,[],0,3,5,30,0.3,1,0,0,9
10,suggestion-hover,user,1629921325494,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the “Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.
",293,[],0,4,5,30,0.3,1,0,0,10
11,suggestion-hover,user,1629921325513,,,"When you're 28, science discovers a drug that stops all effects of aging, creating immortality. Your government decides to give the drug to all citizens under 26, but you and the rest of the “Lost Generations"" are deemed too high-risk. When you're 85, the side effects are finally discovered.
",293,[],0,3,5,30,0.3,1,0,0,11
